algorithm,n,time_ns,comparisons,allocations,max_depth
MergeSort,1,715300,0,1,0
MergeSort,1,800,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,400,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,500,0,1,0
MergeSort,1,10000,0,1,0
MergeSort,10,3800,31,1,0
MergeSort,10,1800,29,1,0
MergeSort,10,6700,32,1,0
MergeSort,10,1600,19,1,0
MergeSort,10,2200,24,1,0
MergeSort,10,2600,34,1,0
MergeSort,10,2100,36,1,0
MergeSort,10,1800,29,1,0
MergeSort,10,1600,26,1,0
MergeSort,10,1800,35,1,0
MergeSort,100,39000,644,1,3
MergeSort,100,32200,647,1,3
MergeSort,100,48800,632,1,3
MergeSort,100,39800,669,1,3
MergeSort,100,24900,632,1,3
MergeSort,100,25000,669,1,3
MergeSort,100,25400,673,1,3
MergeSort,100,26900,650,1,3
MergeSort,100,24000,642,1,3
MergeSort,100,24000,643,1,3
MergeSort,1000,357100,10366,1,6
MergeSort,1000,209900,10376,1,6
MergeSort,1000,66500,10379,1,6
MergeSort,1000,59200,10475,1,6
MergeSort,1000,64700,10465,1,6
MergeSort,1000,70300,10354,1,6
MergeSort,1000,63700,10272,1,6
MergeSort,1000,63900,10362,1,6
MergeSort,1000,57800,10373,1,6
MergeSort,1000,66900,10400,1,6
MergeSort,10000,818400,144521,1,9
MergeSort,10000,805600,143913,1,9
MergeSort,10000,835400,143821,1,9
MergeSort,10000,828900,144212,1,9
MergeSort,10000,1042700,144344,1,9
MergeSort,10000,1018100,144213,1,9
MergeSort,10000,1156000,143897,1,9
MergeSort,10000,1050200,144229,1,9
MergeSort,10000,1056400,143643,1,9
MergeSort,10000,1204700,144632,1,9
